I stay up to date on current political topics and issues.,I have developed opinions on political issues and topics.,I am comfortable starting a discussion about political issues with my friends.,I know enough information about politics and political issues to talk about them with people I don’t know very well.,"On average, approximately how many minutes per day do you spend on Facebook?-Minutes Per Day on Facebook",Approximately how many Facebook friends do you have?-Number of Facebook Friends,"On average, how many days per week do you read a newspaper or news magazine?","On average, how many days per week do you watch television news?",What is your age?-Years (Age),What is your sex?,What is your race/ethnicity?
pie1,pie2,pie3,pie4,fbtime,fbfriends,news,tv,age,sex,race
2,4,2,2,15,1000,3,2,19,Male,White
4,5,4,4,90,1002,7,1,23,Male,White
4,4,2,2,,,4,5,18,Male,White
3,4,2,2,20,1280,3,3,19,Male,White
4,5,5,3,91,295,6,1,19,Male,White
3,4,3,4,33,1050,1,2,18,Male,Black
2,5,1,1,9,102,5,7,18,Male,White
4,5,5,4,30,304,1,1,19,Male,White
3,4,2,2,120,1190,4,5,20,Male,White
2,3,3,2,75,453,4,1,18,Male,White
3,3,3,3,13,439,3,2,19,Male,White
1,1,3,1,181,506,1,1,19,Male,White
3,4,1,4,30,927,3,1,20,Male,White
1,1,1,2,43,515,1,1,18,Male,White
4,3,1,1,209,1315,5,1,20,Male,White
3,4,2,4,20,1007,2,1,18,Male,White
4,5,4,3,57,383,5,1,19,Male,White
1,1,1,1,11,998,1,1,18,Male,White
4,2,2,2,200,708,3,1,20,Male,Other
4,5,4,2,20,882,1,7,19,Male,Multiracial
2,2,1,1,11,698,2,3,19,Male,White
2,3,2,3,29,833,2,5,19,Male,White
2,4,2,2,28,214,1,2,20,Male,White
4,3,4,2,16,1206,2,3,19,Male,White
2,4,4,4,10,600,3,2,18,Male,White
1,2,1,1,150,1043,1,1,19,Male,White
3,3,2,2,10,452,1,1,18,Male,White
4,4,3,3,20,218,5,1,18,Male,White
4,4,4,4,32,917,7,7,20,Male,Other
2,4,1,1,20,450,1,1,19,Male,White
5,2,4,4,45,1006,3,3,19,Male,White
4,4,4,4,28,330,5,1,19,Male,Multiracial
2,4,2,2,45,374,1,3,19,Male,White
